Metric,Score
Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all,maxDets=100 ] = 0.288
Average Precision  (AP) @[ IoU=0.50 | area=   all,maxDets=100 ] = 0.653
Average Precision  (AP) @[ IoU=0.75 | area=   all,maxDets=100 ] = 0.155
Average Precision  (AP) @[ IoU=0.50:0.95 | area= small,maxDets=100 ] = -1.000
Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium,maxDets=100 ] = 0.081
Average Precision  (AP) @[ IoU=0.50:0.95 | area= large,maxDets=100 ] = 0.374
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all,maxDets=100 ] = 0.464
Average Recall     (AR) @[ IoU=0.50:0.95 | area= small,maxDets=100 ] = -1.000
Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium,maxDets=100 ] = 0.400
Average Recall     (AR) @[ IoU=0.50:0.95 | area= large,maxDets=100 ] = 0.467
